นักเรียนใหม่เติมเต็มประวัติศาสตร์ที่ผิด,ประวัตินักศึกษา
ฉันต้องลงทะเบียนสําหรับวันที่ล่าช้าหรือไม่?,ลงทะเบียนเรียน
ฉันต้องการซ่อมวันปี,ประวัตินักศึกษา
ลงทะเบียนหัวเรื่องไม่ได้ค่ะ ไม่อยู่ในรายการค่ะ ต้องการทําอะไรคะ,ลงทะเบียนเรียน
อืม พี่คิดว่าตอนนี้พี่เปิดให้เอกสารแล้วและพี่ยังไม่อนุมัติ พี่ต้องทําอะไรคะ,ขอเอกสาร/ใบรับรอง
ช่วยถามทีนะว่ายังไม่ได้รับการอนุมัติจากนักเรียนหรือไม่ สามารถลงทะเบียนเรียนได้หรือไม่,ลงทะเบียนเรียน
ฉันเรียนเรื่อง เอ็มที ใน ลําปาง แต่ฉันออกไปข้างนอกและยังไม่ได้ลาออกและฉันยังไม่ได้จ่ายเงินให้เทอมเลย นี่เป็นไปได้ไหมที่จะกลับไปโรงเรียน,ชำระเงิน/ใบเสร็จรับเงิน
มีปีอื่นที่ลงทะเบียนไว้สําหรับ 6-15 มั้ยคะ,ลงทะเบียนเรียน
จ่าย การศึกษา ยังไง,ชำระเงิน/ใบเสร็จรับเงิน
คุณมีใบอนุญาตสําหรับอาจารย์ของคุณหรือไม่?,ขอเอกสาร/ใบรับรอง
ถ้าป้ายทะเบียนยังไม่ส่งผลกระทบต่อการลงทะเบียนในวันที่ 4-5 หรือไม่,ลงทะเบียนเรียน
ต้องการสมัครรับปริญญาโทเยอรมันปีแรกมั้ยคะ สําหรับบุคคลที่ไม่ปกติ ต้องการโควต้ามั้ยคะ,ลงทะเบียนเรียน
อีกคําถามนึงค่ะ แล้วก็ค่าธรรมเนียมห้องสมุดด้วย ต้องจ่ายเมื่อไหร่คะ,ชำระเงิน/ใบเสร็จรับเงิน
ปุ่มนั้นใช่หรือไม่? ฉันมีใบอนุญาตระดับบัณฑิตศึกษา,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
ตรวจสอบผลลัพธ์ของเอกสารการโพสต์,ขอเอกสาร/ใบรับรอง
และถ้าคุณมาถึงวันที่เข้าเรียนของคุณ แต่การลงทะเบียนเรียนของคุณไม่ปรากฏในการอนุมัติคุณจะสามารถลงทะเบียนได้หรือไม่?,ลงทะเบียนเรียน
ดีจ้ะ พี่สงสัยว่าปีพี่เปิดแค่วันอังคารที่ 1 ไหม,ลงทะเบียนเรียน
สวัสดีค่ะ ฉันช่วยไม่ได้เรื่องการสําเร็จการศึกษาค่ะ,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
บอกให้ฉันรู้ทีนะ ฉันลงทะเบียนช้าสําหรับฤดูร้อน ตอนนี้ฉันจ่ายเงินให้เทอม แต่ห้องสมุดไม่ได้ตัดเงินอะไร ฉันติดต่อเธอได้ที่ไหนอ่ะ,ชำระเงิน/ใบเสร็จรับเงิน
ที่อยู่ใต้จานบ้านไม่ใช่ที่อยู่นี้ค่ะ,ประวัตินักศึกษา
ฉันได้ขอใบรับรองการสอบระดับปริญญาตรีของฉันทั้งหมด ฉันจะอัปโหลดหลักฐานระดับบัณฑิตศึกษาของฉันเพื่อลงทะเบียนในฐานะนักเรียน แต่ฉันเคยอัปโหลดมันมาก่อนดังนั้นฉันจึงไม่สามารถอัพโหลดใหม่ได้,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
ฉันไม่รู้คําร้องออนไลน์ สําหรับหลักสูตรที่เปิดในเทอมเดียวกัน แต่ฉันต้องไปที่ด้านบนของเทอมพิเศษหนึ่ง ต้องมีคําร้องไหมอ่ะ,ขอเอกสาร/ใบรับรอง
ใบรับรองคุณวุฒิจะถูกส่งมอบเมื่อใด,ขอเอกสาร/ใบรับรอง
ถามค่ะ ร้านแกรดูเต้ เรจิสตราร์ควรทํายังไงนะคะ ไม่ขึ้นว่าทางไปหรือต้องรอรอบต่อไปคะ,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
พรุ่งนี้ ต้องขอโควต้ามั้ยคะ,ลงทะเบียนเรียน
"บน 4-5, คลิกที่การยืนยันการลงทะเบียน.",ลงทะเบียนเรียน
แล้วเทอมล่ะคะ,ชำระเงิน/ใบเสร็จรับเงิน
ฉันต้องเข้าเรียนพรุ่งนี้ เธอช่วยติดตามมันให้ฉันหน่อยได้ไหม,ลงทะเบียนเรียน
การลงทะเบียนรับสมัครจะได้รับการลงทะเบียน,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
กรุณาขอใบรับรอง,ขอเอกสาร/ใบรับรอง
